time (ms), temperature (C), humidity (%), he (ppm), iaq, tvoc (ppb), eco2 (ppm), iaqr, h2 (ppb), ethanol (ppb), lux, als, white, ori_x (m/s^2), ori_y (m/s^2), ori_z (m/s^2), gyro_x (rad), gyro_y (rad), gyro_z (rad), linear_x (m/s^2), linear_y (m/s^2), linear_z (m/s^2), magnetic_x (?T), magnetic_y (?T), magnetic_z (?T), acceleration_x (m/s^2), acceleration_y (m/s^2), acceleration_z (m/s^2), gravity_x (m/s^2), gravity_y (m/s^2), gravity_z (m/s^2), x_pos (m), y_pos (m), head (m)
2226, 26.33, 51.65, 0,  , 0, 400,  , 12381, 16219, 2830.74, 5329, 9456, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2710, 26.29, 51.64, 0,  , 0, 400,  , 12579, 16356, 2824.31, 5309, 9454, 0.00, -85.31, -175.31, -0.01, -0.02, 0.01, -0.16, -0.07, -0.08, 13.38, -6.06, 32.69, -9.88, 0.85, -0.21, -9.77, 0.79, -0.04, -18740.48, -8198.96, -0.08
3192, 26.29, 51.62, 0,  , 0, 400,  , 12727, 16452, 2828.99, 5318, 9398, 358.12, -85.00, -4.94, -0.16, -0.00, 0.03, -0.15, -0.48, -0.15, 13.38, -6.38, 33.25, -9.92, 0.37, -0.12, -9.76, 0.85, 0.02, -36164.78, -63956.72, -0.07
3673, 26.30, 51.67, 0,  , 0, 400,  , 12851, 16533, 2820.81, 5304, 9288, 356.12, -84.12, -5.75, -0.05, 0.00, 0.00, -0.17, 0.05, -0.43, 13.56, -7.00, 32.19, -9.95, 0.94, -0.28, -9.75, 0.99, 0.10, -55830.47, -58172.69, -0.08
4156, 26.29, 51.64, 0,  , 0, 400,  , 12960, 16602, 2829.57, 5319, 9297, 356.50, -84.56, -5.38, 0.02, 0.03, -0.06, -0.21, -0.37, -0.01, 13.56, -6.38, 32.56, -9.97, 0.54, 0.08, -9.76, 0.91, 0.10, -80325.81, -101331.16, -0.10
4639, 26.27, 51.69, 0,  , 0, 400,  , 13053, 16662, 2824.31, 5309, 9317, 356.50, -84.62, -5.31, -0.00, -0.02, 0.01, -0.12, 0.20, -0.09, 14.06, -6.38, 32.56, -9.88, 1.11, -0.07, -9.76, 0.91, 0.02, -94323.15, -78002.26, -0.06
5119, 26.29, 51.66, 0,  , 0, 400,  , 13127, 16708, 2820.22, 5313, 9280, 355.62, -84.38, -5.56, 0.02, 0.03, -0.03, -0.06, 0.09, 0.04, 14.38, -4.69, 33.69, -9.82, 1.04, 0.08, -9.76, 0.95, 0.03, -101235.15, -67634.26, -0.03
5601, 26.27, 51.71, 0,  , 0, 400,  , 13192, 16732, 2813.80, 5278, 9323, 356.62, -85.56, -175.56, 0.00, -0.01, -0.02, -0.17, -0.32, -0.09, 16.19, -1.00, 32.00, -9.95, 0.42, -0.16, -9.77, 0.74, -0.07, -120982.69, -104806.10, -0.08
6080, 26.29, 51.69, 0,  , 0, 400,  , 13250, 16769, 2810.88, 5287, 9306, 356.31, -85.44, -175.44, -0.00, -0.00, -0.03, -0.13, -0.03, 0.00, 17.06, -2.56, 33.38, -9.91, 0.74, -0.04, -9.77, 0.77, -0.05, -135896.35, -108247.71, -0.06
6563, 26.29, 51.72, 0,  , 0, 400,  , 13294, 16791, 2806.21, 5279, 9313, 356.38, -85.56, -175.56, -0.01, -0.01, -0.00, -0.12, 0.06, 0.00, 17.06, -1.06, 34.38, -9.90, 0.82, -0.07, -9.77, 0.75, -0.06, -149893.69, -101249.04, -0.06
7045, 26.27, 51.67, 0,  , 0, 400,  , 13341, 16823, 2803.29, 5274, 9291, 356.44, -85.56, -175.56, -0.01, -0.00, -0.00, -0.09, 0.03, -0.01, 17.06, -1.88, 33.69, -9.86, 0.78, -0.07, -9.77, 0.74, -0.06, -160348.27, -97764.18, -0.04
7525, 26.26, 51.70, 0,  , 0, 400,  , 13379, 16843, 2799.79, 5266, 9291, 356.44, -85.56, -175.56, 0.01, 0.01, -0.00, -0.12, 0.06, -0.07, 17.88, -1.88, 34.06, -9.90, 0.81, -0.15, -9.77, 0.74, -0.07, -174172.27, -90852.18, -0.06
8011, 26.26, 51.67, 0,  , 0, 400,  , 13411, 16869, 2797.46, 5269, 9296, 356.38, -85.56, -175.56, -0.00, -0.00, 0.01, -0.11, 0.01, 0.07, 17.06, -1.50, 34.06, -9.87, 0.80, -0.02, -9.77, 0.75, -0.07, -187163.05, -89671.20, -0.05
8496, 26.29, 51.68, 0,  , 0, 400,  , 13452, 16895, 2800.96, 5270, 9313, 356.38, -85.50, -175.56, 0.00, 0.00, -0.00, -0.10, -0.01, 0.03, 17.88, -1.06, 33.69, -9.88, 0.73, -0.05, -9.77, 0.75, -0.08, -198924.30, -90847.33, -0.05
8978, 26.26, 51.62, 0,  , 0, 400,  , 13482, 16918, 2802.13, 5272, 9319, 356.31, -85.50, -175.50, -0.06, 0.01, 0.04, -0.02, -0.56, 0.31, 17.75, -2.25, 32.00, -9.80, 0.19, 0.22, -9.77, 0.76, -0.08, -201247.54, -155898.05, -0.01
9460, 26.27, 51.66, 0,  , 0, 400,  , 13513, 16940, 2799.21, 5267, 9302, 355.62, -85.44, -175.44, 0.03, 0.03, 0.05, -0.23, 0.32, -1.19, 20.25, -4.00, 28.69, -10.01, 1.10, -1.24, -9.77, 0.77, -0.05, -227964.80, -118726.21, -0.11
9941, 26.26, 51.66, 0,  , 0, 400,  , 13539, 16963, 2800.96, 5265, 9287, 355.12, -85.38, -175.44, -0.06, 0.06, -0.00, -0.04, 0.00, 0.29, 19.75, -3.38, 29.56, -9.82, 0.78, 0.23, -9.77, 0.77, -0.05, -232592.02, -118726.21, -0.02
10428, 26.25, 51.62, 0,  , 0, 400,  , 13559, 16980, 2796.29, 5262, 9254, 355.06, -85.50, -4.44, -0.01, 0.09, -0.02, -0.14, -0.35, 0.53, 20.69, -5.25, 28.50, -9.92, 0.41, 0.54, -9.77, 0.76, 0.00, -249193.85, -160230.78, -0.07
10910, 26.26, 51.67, 0,  , 0, 400,  , 13584, 16999, 2784.04, 5241, 9298, 355.81, -85.56, -175.81, 0.03, 0.02, -0.00, -0.11, 0.17, 0.14, 20.50, -5.00, 28.88, -9.88, 0.88, -0.11, -9.77, 0.71, -0.25, -261971.67, -140483.24, -0.05
11391, 26.26, 51.61, 0,  , 0, 400,  , 13605, 17026, 2782.88, 5239, 9325, 355.81, -85.56, -175.88, -0.05, -0.08, -0.01, -0.19, -0.22, -0.43, 19.56, -4.88, 29.50, -9.89, 0.43, -0.55, -9.77, 0.70, -0.26, -283950.97, -165932.95, -0.09
11874, 26.26, 51.63, 0,  , 0, 400,  , 13616, 17033, 2803.29, 5274, 9212, 354.69, -85.12, -4.75, -0.09, 0.05, -0.01, -0.01, 0.44, 0.01, 17.19, -4.06, 29.69, -9.78, 1.26, 0.09, -9.77, 0.82, 0.07, -285117.41, -114609.37, -0.00
12358, 26.23, 51.61, 0,  , 0, 400,  , 13635, 17051, 2797.46, 5260, 9245, 355.31, -85.38, -175.38, -0.03, -0.06, -0.05, -0.44, 0.01, -0.34, 17.69, -3.69, 29.56, -10.22, 0.79, -0.43, -9.77, 0.78, -0.08, -336653.73, -113438.09, -0.21
12839, 26.23, 51.65, 0,  , 0, 400,  , 13660, 17075, 2791.62, 5259, 9218, 355.19, -85.44, -4.50, -0.04, -0.02, -0.02, -0.14, -0.09, 0.35, 19.88, -4.56, 25.56, -9.92, 0.67, 0.36, -9.77, 0.77, 0.01, -352849.00, -123849.34, -0.07
13323, 26.26, 51.65, 0,  , 0, 400,  , 13676, 17092, 2789.29, 5250, 9199, 355.12, -85.56, -4.38, -0.02, -0.01, -0.01, -0.10, 0.00, 0.09, 20.38, -5.06, 25.75, -9.87, 0.58, 0.27, -9.77, 0.75, 0.04, -364561.80, -123849.34, -0.05
13809, 26.23, 51.67, 0,  , 0, 400,  , 13683, 17100, 2789.87, 5251, 9180, 354.94, -85.50, -4.44, -0.05, 0.01, -0.01, -0.20, -0.16, 0.06, 19.25, -6.06, 25.75, -9.97, 0.59, 0.14, -9.77, 0.76, 0.08, -388181.40, -142745.02, -0.10
14292, 26.23, 51.64, 0,  , 0, 400,  , 13703, 17129, 2789.29, 5250, 9186, 355.12, -85.50, -4.44, -0.01, -0.03, -0.01, -1.60, 0.08, 0.19, 20.00, -5.75, 25.56, -11.37, 0.84, 0.27, -9.77, 0.75, 0.08, -574812.61, -133413.46, -0.78
14774, 26.25, 51.67, 0,  , 5189, 400,  , 13718, 17142, 2791.04, 5246, 9180, 355.19, -85.56, -4.38, 0.01, 0.01, 0.01, -0.06, 0.29, -0.05, 20.06, -6.19, 26.25, -9.84, 1.05, 0.01, -9.77, 0.75, 0.07, -581753.44, -99866.11, -0.03
15257, 26.22, 51.70, 0,  , 5074, 400,  , 13731, 17144, 2789.29, 5253, 9209, 355.38, -85.69, -4.25, -0.01, 0.02, -0.00, -0.14, -0.16, 0.00, 20.06, -5.75, 25.56, -9.90, 0.85, 0.00, -9.77, 0.73, 0.04, -598083.67, -118529.23, -0.07
15743, 26.22, 51.68, 0,  , 4899, 400,  , 13744, 17170, 2786.37, 5245, 9248, 355.38, -85.62, -4.31, 0.01, -0.03, 0.01, -0.11, 0.18, -0.24, 20.75, -5.50, 27.88, -9.89, 0.93, -0.22, -9.77, 0.74, 0.01, -611074.45, -97271.59, -0.05
16226, 26.25, 51.70, 0,  , 4743, 400,  , 13762, 17189, 2791.04, 5253, 9230, 355.31, -85.56, -4.31, 0.04, -0.00, -0.01, -0.07, -0.21, -0.41, 20.75, -6.19, 26.25, -9.85, 0.53, -0.36, -9.77, 0.74, 0.04, -619239.56, -121766.94, -0.03
16709, 26.23, 51.72, 0,  , 4648, 400,  , 13765, 17193, 2788.71, 5249, 9210, 355.19, -85.62, -4.31, 0.01, 0.01, -0.01, -0.13, -0.02, -0.26, 19.00, -5.50, 27.06, -9.91, 0.71, -0.17, -9.77, 0.74, 0.08, -634403.35, -124099.83, -0.06
17196, 26.20, 51.73, 0,  , 4507, 400,  , 13776, 17198, 2788.12, 5260, 9266, 355.38, -85.75, -4.19, 0.02, 0.01, 0.00, -0.13, 0.07, -0.27, 19.25, -6.56, 26.75, -9.91, 0.79, -0.20, -9.77, 0.72, 0.07, -649819.33, -115798.91, -0.06
17679, 26.23, 51.74, 0,  , 4382, 400,  , 13793, 17222, 2806.79, 5270, 9289, 355.50, -85.75, -4.19, -0.01, 0.01, 0.00, -0.15, -0.12, -0.34, 19.69, -5.50, 26.75, -9.93, 0.59, -0.28, -9.78, 0.71, 0.05, -667316.01, -129796.25, -0.07
18160, 26.22, 51.76, 0,  , 4237, 400,  , 13804, 17230, 2799.79, 5268, 9270, 355.38, -85.75, -4.19, -0.00, -0.01, 0.01, -0.11, 0.20, 0.00, 19.00, -5.06, 26.75, -9.89, 0.92, 0.09, -9.77, 0.71, 0.08, -680040.86, -106660.15, -0.05
18643, 26.22, 51.78, 0,  , 4026, 400,  , 13817, 17257, 2793.96, 5258, 9264, 355.69, -85.94, -3.94, 0.00, 0.00, 0.01, -0.14, -0.08, -0.18, 20.06, -5.38, 25.88, -9.93, 0.59, -0.11, -9.78, 0.68, 0.06, -696371.09, -115991.71, -0.07
19124, 26.20, 51.74, 0,  , 3916, 400,  , 13825, 17259, 2793.37, 5257, 9253, 355.62, -85.88, -4.00, 0.01, 0.00, 0.00, -0.11, -0.10, 0.03, 20.06, -4.69, 25.19, -9.89, 0.58, 0.09, -9.78, 0.69, 0.06, -709095.95, -127559.76, -0.05
19608, 26.20, 51.79, 0,  , 3875, 400,  , 13841, 17282, 2794.54, 5266, 9259, 355.75, -86.00, -3.94, 0.01, -0.00, -0.01, -0.10, -0.09, 0.07, 18.25, -5.75, 26.00, -9.91, 0.61, 0.00, -9.78, 0.67, 0.06, -720808.75, -138101.28, -0.05
20093, 26.20, 51.82, 0,  , 3655, 400,  , 13846, 17289, 2789.87, 5249, 9221, 355.75, -86.06, -3.88, -0.03, 0.00, 0.01, -0.31, 0.16, -0.16, 20.06, -5.75, 26.38, -10.10, 0.83, -0.09, -9.78, 0.66, 0.07, -757268.62, -119283.28, -0.15
20573, 26.19, 51.81, 0,  , 3570, 400,  , 13858, 17300, 2784.63, 5242, 9216, 355.69, -86.06, -3.88, -0.01, 0.01, -0.00, -0.13, 0.03, -0.06, 20.06, -5.75, 26.00, -9.92, 0.69, 0.00, -9.78, 0.66, 0.07, -772244.62, -115827.28, -0.06
21057, 26.20, 51.83, 0,  , 3474, 400,  , 13866, 17317, 2786.37, 5245, 9231, 355.88, -86.19, -3.75, -0.00, 0.00, -0.01, -0.16, 0.04, -0.17, 20.38, -5.38, 25.50, -9.94, 0.68, -0.10, -9.78, 0.64, 0.07, -790985.10, -111142.16, -0.08
21540, 26.16, 51.87, 0,  , 3339, 400,  , 13874, 17322, 2783.46, 5240, 9246, 356.06, -86.31, -3.62, 0.01, -0.03, -0.01, -0.12, -0.18, 0.03, 19.69, -5.00, 25.56, -9.90, 0.44, 0.10, -9.78, 0.62, 0.06, -804982.44, -132138.17, -0.06
22021, 26.16, 51.88, 0,  , 3309, 400,  , 13882, 17334, 2782.29, 5246, 9267, 355.62, -86.25, -3.69, -0.00, -0.01, -0.02, -0.06, 0.28, -0.02, 20.19, -5.69, 26.75, -9.90, 0.85, -0.19, -9.78, 0.63, 0.01, -811923.27, -99747.63, -0.03
22508, 26.17, 51.87, 0,  , 3168, 400,  , 13891, 17355, 2793.96, 5250, 9290, 356.25, -86.56, -3.38, 0.01, -0.01, 0.02, -0.12, 0.22, -0.44, 19.75, -5.00, 25.56, -9.91, 0.80, -0.39, -9.78, 0.57, 0.04, -826153.41, -73659.04, -0.06
22992, 26.16, 51.92, 0,  , 3020, 400,  , 13903, 17364, 2792.79, 5256, 9272, 355.88, -86.25, -3.62, 0.00, 0.02, -0.02, -0.12, -0.16, 0.11, 19.00, -4.88, 25.19, -9.91, 0.45, 0.20, -9.78, 0.62, 0.09, -840208.77, -92399.52, -0.06
23476, 26.17, 51.97, 0,  , 2988, 400,  , 13907, 17365, 2790.46, 5252, 9286, 356.00, -86.38, -3.56, -0.02, 0.01, -0.01, -0.13, 0.00, -0.18, 19.38, -5.19, 27.06, -9.92, 0.52, -0.14, -9.78, 0.60, 0.05, -855435.41, -92399.52, -0.06
23962, 26.15, 51.95, 0,  , 2974, 400,  , 13918, 17390, 2798.62, 5266, 9298, 356.12, -86.44, -3.50, 0.02, -0.03, -0.01, -0.10, -0.13, 0.00, 19.75, -5.19, 25.56, -9.88, 0.46, 0.06, -9.78, 0.60, 0.06, -867245.21, -107752.26, -0.05
24441, 26.16, 51.98, 0,  , 2955, 400,  , 13919, 17387, 2790.46, 5255, 9290, 356.31, -86.56, -3.31, -0.00, -0.01, -0.01, -0.14, 0.11, -0.06, 19.06, -5.56, 26.00, -9.93, 0.68, 0.00, -9.78, 0.57, 0.07, -883306.08, -95133.01, -0.07
24925, 26.16, 52.06, 0,  , 2854, 400,  , 13934, 17402, 2786.37, 5248, 9303, 356.44, -86.69, -3.25, -0.02, 0.02, 0.02, -0.09, 0.30, 0.15, 18.38, -5.88, 26.38, -9.88, 0.87, 0.22, -9.79, 0.56, 0.06, -893847.60, -59994.61, -0.04
25408, 26.16, 52.10, 0,  , 2833, 400,  , 13937, 17402, 2793.96, 5258, 9313, 356.56, -86.69, -3.25, -0.02, -0.01, 0.02, -0.07, 0.12, 0.08, 18.00, -5.19, 26.38, -9.86, 0.68, 0.12, -9.79, 0.56, 0.03, -902012.71, -45997.27, -0.03
25888, 26.16, 52.10, 0,  , 2738, 400,  , 13948, 17430, 2795.12, 5260, 9302, 355.88, -86.06, -3.88, 0.02, 0.02, 0.04, -0.13, -0.13, 0.12, 15.00, -3.25, 32.75, -9.92, 0.53, 0.13, -9.78, 0.66, 0.01, -916988.71, -60973.27, -0.06
26371, 26.16, 52.06, 0,  , 2720, 400,  , 13952, 17437, 2801.54, 5271, 9286, 355.44, -85.38, -175.44, -0.01, -0.04, -0.03, -0.16, -0.39, 0.06, 15.69, -4.06, 32.75, -9.94, 0.38, -0.03, -9.77, 0.77, -0.09, -935651.83, -106464.62, -0.08
26861, 26.13, 52.16, 0,  , 2678, 400,  , 13963, 17448, 2809.71, 5292, 9286, 355.56, -85.38, -4.56, 0.02, 0.00, -0.01, -0.10, 0.28, -0.21, 15.38, -3.69, 30.06, -9.88, 1.07, -0.21, -9.77, 0.78, 0.00, -947656.83, -72850.62, -0.05
27341, 26.13, 52.16, 0,  , 2591, 400,  , 13971, 17453, 2815.55, 5295, 9299, 355.62, -85.44, -4.50, -0.00, -0.00, 0.00, -0.05, 0.11, 0.19, 16.19, -4.38, 31.56, -9.83, 0.88, 0.21, -9.77, 0.77, 0.02, -953416.83, -60178.62, -0.02
27828, 26.15, 52.16, 0,  , 2567, 400,  , 13974, 17466, 2805.63, 5278, 9286, 355.88, -85.69, -175.62, -0.00, -0.01, 0.01, -0.07, 0.03, -0.01, 15.06, -4.75, 31.25, -9.89, 0.83, -0.04, -9.77, 0.73, 0.00, -961717.75, -56621.08, -0.03
28314, 26.15, 52.15, 0,  , 2577, 400,  , 13977, 17461, 2809.13, 5284, 9276, 355.88, -85.62, -4.31, 0.00, 0.01, 0.00, -0.13, 0.07, -0.14, 15.75, -4.38, 30.88, -9.91, 0.81, -0.12, -9.77, 0.74, 0.02, -977070.49, -48354.22, -0.06
28796, 26.16, 52.19, 0,  , 2540, 400,  , 13987, 17474, 2804.46, 5276, 9250, 355.88, -85.62, -4.31, -0.00, 0.00, 0.00, -0.13, 0.00, -0.07, 15.75, -4.06, 31.25, -9.91, 0.74, -0.05, -9.77, 0.74, 0.02, -992171.55, -48354.22, -0.06
29283, 26.16, 52.18, 0,  , 2468, 400,  , 13998, 17494, 2807.96, 5281, 9235, 355.81, -85.56, -4.38, -0.01, 0.00, 0.00, -0.13, 0.03, 0.11, 16.56, -4.75, 29.69, -9.91, 0.78, 0.15, -9.77, 0.74, 0.03, -1007587.53, -44796.69, -0.06
29766, 26.15, 52.20, 0,  , 2397, 400,  , 14010, 17504, 2802.13, 5272, 9281, 356.00, -85.94, -175.94, -0.07, -0.03, 0.01, -0.23, -0.12, -0.25, 17.50, -4.88, 27.50, -10.02, 0.56, -0.29, -9.78, 0.68, -0.03, -1034415.77, -58794.03, -0.11
30251, 26.15, 52.22, 0,  , 2367, 400,  , 14008, 17506, 2813.22, 5291, 9252, 355.25, -85.50, -175.50, -0.01, -0.02, -0.03, -0.05, 0.08, 0.21, 19.38, -5.75, 27.69, -9.84, 0.77, 0.33, -9.77, 0.76, 0.00, -1040296.39, -49385.03, -0.02
30740, 26.13, 52.16, 0,  , 2392, 400,  , 14022, 17518, 2805.04, 5277, 9272, 355.50, -85.62, -4.31, 0.01, -0.03, 0.01, -0.02, 0.36, 1.04, 18.38, -6.88, 26.75, -9.80, 1.11, 1.05, -9.77, 0.74, 0.01, -1042687.60, -6343.25, -0.01
31224, 26.12, 52.13, 0,  , 2323, 400,  , 14019, 17520, 2803.29, 5274, 9288, 355.62, -85.62, -175.75, -0.01, 0.02, 0.01, -0.13, 0.01, 0.04, 18.25, -6.88, 26.69, -9.91, 0.73, -0.10, -9.77, 0.72, -0.15, -1057914.24, -5171.97, -0.06
31709, 26.12, 52.19, 0,  , 2272, 400,  , 14032, 17532, 2799.21, 5277, 9269, 355.19, -85.44, -175.50, 0.03, -0.03, 0.01, -0.18, 0.53, -0.73, 19.25, -6.88, 27.75, -9.96, 1.29, -0.88, -9.77, 0.76, -0.14, -1079084.49, 57162.65, -0.09
32196, 26.13, 52.17, 0,  , 2233, 400,  , 14040, 17547, 2807.96, 5281, 9259, 355.00, -85.44, -175.44, 0.00, 0.01, -0.00, -0.14, -0.15, -0.48, 19.25, -7.56, 26.19, -9.92, 0.73, -0.48, -9.77, 0.76, -0.05, -1095686.32, 39374.98, -0.07
32681, 26.10, 52.14, 0,  , 2235, 400,  , 14038, 17541, 2800.38, 5269, 9269, 355.38, -85.62, -175.69, 0.03, 0.01, -0.01, -0.11, 0.01, 0.52, 18.56, -6.75, 27.38, -9.90, 0.81, 0.20, -9.77, 0.73, -0.09, -1108623.70, 40551.10, -0.05
33165, 26.16, 52.14, 0,  , 2191, 400,  , 14037, 17555, 2798.04, 5265, 9273, 356.00, -85.81, -175.94, 0.02, 0.04, -0.00, -0.11, -0.03, -0.41, 19.00, -6.06, 27.00, -9.89, 0.65, -0.59, -9.78, 0.69, -0.18, -1121507.78, 37037.26, -0.05
33653, 26.15, 52.09, 0,  , 2106, 400,  , 14045, 17560, 2798.04, 5256, 9279, 356.25, -85.94, -176.00, -0.04, -0.05, -0.02, -0.12, -0.17, 0.32, 19.00, -6.06, 27.00, -9.90, 0.50, 0.18, -9.78, 0.67, -0.13, -1135796.42, 16795.02, -0.06
34137, 26.12, 52.16, 0,  , 2085, 400,  , 14054, 17566, 2802.13, 5285, 9215, 355.56, -85.44, -4.44, 0.02, 0.01, 0.02, -0.89, 0.43, 0.24, 13.88, -4.50, 30.38, -10.67, 1.20, 0.29, -9.77, 0.76, 0.04, -1240040.34, 67160.06, -0.43
34623, 26.13, 52.10, 0,  , 2069, 400,  , 14060, 17574, 2803.29, 5274, 9251, 356.56, -86.00, -176.06, 0.00, -0.02, 0.02, -0.16, -0.07, 0.03, 15.19, -4.19, 29.88, -9.94, 0.60, 0.00, -9.78, 0.67, -0.04, -1258936.02, 58893.20, -0.08
35107, 26.13, 52.10, 0,  , 2030, 400,  , 14073, 17585, 2809.71, 5285, 9236, 356.31, -85.81, -4.12, -0.04, 0.02, -0.01, -0.08, -0.24, 0.13, 14.38, -4.69, 29.50, -9.86, 0.46, 0.13, -9.78, 0.71, 0.00, -1268306.26, 30782.48, -0.04
35593, 26.13, 52.10, 0,  , 1970, 400,  , 14073, 17596, 2806.21, 5279, 9244, 356.31, -85.75, -175.75, 0.01, 0.00, -0.01, -0.12, -0.11, 0.10, 14.38, -3.56, 30.69, -9.90, 0.61, 0.09, -9.77, 0.72, 0.00, -1282478.02, 17791.70, -0.06
36081, 26.10, 52.11, 0,  , 1960, 400,  , 14069, 17594, 2812.05, 5294, 9286, 356.38, -85.81, -175.81, -0.02, 0.01, -0.00, -0.07, -0.20, 0.11, 14.00, -5.06, 29.88, -9.85, 0.51, 0.09, -9.78, 0.71, -0.01, -1290813.06, -6022.70, -0.03
36562, 26.12, 52.13, 0,  , 1951, 400,  , 14084, 17605, 2815.55, 5298, 9291, 356.38, -85.75, -175.75, -0.00, 0.01, -0.01, -0.13, -0.12, 0.05, 13.69, -4.69, 29.50, -9.91, 0.59, 0.04, -9.78, 0.71, -0.01, -1305851.52, -19904.36, -0.06
37050, 26.12, 52.10, 0,  , 1907, 400,  , 14085, 17615, 2812.05, 5289, 9288, 356.38, -85.75, -175.75, -0.02, -0.01, -0.00, -0.09, -0.06, 0.10, 14.00, -4.69, 30.25, -9.87, 0.66, 0.09, -9.78, 0.72, 0.00, -1316568.00, -27048.68, -0.04
37536, 26.12, 52.12, 0,  , 1856, 400,  , 14090, 17626, 2810.88, 5287, 9278, 356.38, -85.75, -175.75, 0.00, -0.01, 0.00, -0.14, 0.04, -0.06, 13.38, -4.00, 29.88, -9.92, 0.76, -0.07, -9.78, 0.72, 0.00, -1333101.72, -22324.76, -0.07
38016, 26.13, 52.13, 0,  , 1831, 400,  , 14096, 17624, 2810.30, 5286, 9269, 356.38, -85.75, -175.75, -0.00, -0.01, 0.00, -0.11, 0.07, -0.06, 13.25, -4.69, 28.69, -9.89, 0.79, -0.06, -9.78, 0.72, 0.00, -1345773.72, -14260.76, -0.05
38504, 26.12, 52.10, 0,  , 1794, 400,  , 14102, 17643, 2812.05, 5293, 9253, 356.25, -85.69, -4.25, 0.02, 0.02, -0.01, -0.11, 0.19, 0.02, 14.00, -4.69, 30.69, -9.89, 0.93, 0.05, -9.77, 0.73, 0.03, -1358871.64, 8362.92, -0.05
38990, 26.09, 52.14, 0,  , 1796, 400,  , 14107, 17647, 2807.96, 5277, 9264, 356.56, -85.81, -175.81, 0.00, 0.00, -0.00, -0.14, 0.11, 0.01, 16.56, -5.00, 29.06, -9.92, 0.81, 0.00, -9.78, 0.70, 0.00, -1375405.36, 21353.70, -0.07
39473, 26.10, 52.12, 0,  , 1746, 400,  , 14102, 17642, 2803.29, 5274, 9259, 356.44, -85.81, -4.12, 0.01, -0.01, -0.01, -0.13, -0.15, 0.34, 15.50, -5.00, 26.75, -9.90, 0.55, 0.43, -9.78, 0.71, 0.00, -1390569.14, 3857.03, -0.06
39962, 26.09, 52.08, 0,  , 1713, 400,  , 14115, 17653, 2803.29, 5274, 9276, 356.50, -85.81, -175.81, -0.00, 0.04, -0.03, -0.19, -0.13, -0.24, 17.00, -7.06, 23.06, -9.97, 0.57, -0.33, -9.78, 0.70, -0.09, -1413285.64, -11685.84, -0.09
40446, 26.09, 52.16, 0,  , 1686, 400,  , 14117, 17661, 2801.54, 5274, 9308, 356.75, -85.81, -175.88, -0.03, -0.04, -0.02, -0.13, -0.07, -0.21, 17.19, -4.50, 24.88, -9.91, 0.61, -0.35, -9.78, 0.69, -0.14, -1428512.28, -19884.80, -0.06
40930, 26.09, 52.17, 0,  , 1642, 400,  , 14116, 17672, 2803.29, 5274, 9301, 356.44, -85.75, -175.81, 0.03, -0.00, 0.02, -0.09, 0.24, -0.38, 16.06, -4.06, 25.38, -9.87, 0.96, -0.53, -9.77, 0.71, -0.14, -1439053.80, 8225.92, -0.04
41416, 26.09, 52.22, 0,  , 1639, 400,  , 14120, 17669, 2805.63, 5278, 9285, 356.50, -85.75, -175.81, 0.00, 0.01, -0.01, -0.17, -0.22, -0.04, 14.88, -6.00, 27.25, -9.95, 0.48, -0.15, -9.78, 0.71, -0.11, -1459130.46, -17755.64, -0.08
41899, 26.10, 52.22, 0,  , 1614, 400,  , 14128, 17677, 2806.21, 5279, 9297, 356.50, -85.69, -175.81, 0.04, -0.00, -0.00, -0.11, 0.07, 0.00, 14.19, -5.56, 24.56, -9.89, 0.79, -0.12, -9.77, 0.71, -0.13, -1471961.35, -9590.52, -0.05
42384, 26.07, 52.26, 0,  , 1605, 400,  , 14127, 17678, 2809.13, 5284, 9308, 356.56, -85.75, -175.81, 0.00, -0.01, 0.00, -0.13, 0.12, 0.09, 17.06, -5.56, 23.06, -9.91, 0.83, -0.02, -9.78, 0.70, -0.12, -1487250.98, 4522.98, -0.06
42869, 26.06, 52.24, 0,  , 1501, 400,  , 14145, 17693, 2807.38, 5290, 9322, 356.62, -85.75, -175.81, 0.01, 0.00, -0.01, -0.10, 0.22, 0.12, 19.56, -5.56, 22.56, -9.88, 0.93, 0.02, -9.78, 0.70, -0.10, -1499012.23, 30397.73, -0.05
43355, 26.09, 52.28, 0,  , 1517, 400,  , 14148, 17707, 2810.30, 5291, 9347, 356.69, -85.81, -175.88, -0.02, 0.02, -0.00, -0.11, -0.10, -0.01, 19.56, -5.19, 24.88, -9.88, 0.59, -0.10, -9.78, 0.69, -0.13, -1512003.01, 18587.93, -0.05
43841, 26.07, 52.27, 0,  , 1459, 400,  , 14148, 17712, 2807.38, 5281, 9340, 356.62, -85.75, -175.88, -0.01, 0.01, -0.01, -0.10, 0.00, 0.01, 18.88, -5.56, 23.00, -9.88, 0.70, -0.14, -9.78, 0.70, -0.16, -1523812.81, 18587.93, -0.05
