2226 - 0m :2s : 226ms :     tm 26.33, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12381, eth 16219, lux 2830.74, als 5329, wh 9456, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
112431 - 1m :52s : 431ms :     tm 25.99, hd 52.58, he 0, iaq , tvoc 415, eco2 400, iaqr , h2 14377, eth 18220, lux 2772.38, als 5220, wh 9133, ori 358.56 -85.75 -4.19, gyr 0.01 0.02 -0.01, lin -0.13 -0.07 -0.08, mag 15.38 -3.75 33.25, accl -9.91 0.65 -0.08, grav -9.77 0.72 0.00, xpos -3485608.55, ypos 47664.58, head -0.06
112916 - 1m :52s : 916ms :     tm 25.99, hd 52.56, he 0, iaq , tvoc 402, eco2 400, iaqr , h2 14379, eth 18228, lux 2774.13, als 5224, wh 9134, ori 358.56 -85.75 -175.75, gyr 0.01 0.01 -0.01, lin -0.11 0.07 0.07, mag 14.38 -4.50 33.25, accl -9.88 0.80 0.03, grav -9.77 0.72 0.00, xpos -3498545.93, ypos 55897.45, head -0.05
113401 - 1m :53s : 401ms :     tm 25.97, hd 52.51, he 0, iaq , tvoc 396, eco2 400, iaqr , h2 14384, eth 18232, lux 2770.05, als 5217, wh 9133, ori 358.69 -85.75 -175.75, gyr 0.00 0.01 -0.00, lin -0.12 0.12 0.12, mag 15.38 -4.50 32.50, accl -9.90 0.84 0.10, grav -9.78 0.72 -0.01, xpos -3512659.43, ypos 70010.95, head -0.06
113886 - 1m :53s : 886ms :     tm 26.00, hd 52.52, he 0, iaq , tvoc 388, eco2 400, iaqr , h2 14383, eth 18235, lux 2768.30, als 5214, wh 9136, ori 358.81 -85.81 -175.81, gyr -0.00 0.00 0.00, lin -0.12 0.11 0.05, mag 16.56 -5.19 34.00, accl -9.90 0.82 0.02, grav -9.78 0.71 -0.03, xpos -3526772.93, ypos 82948.33, head -0.06
114372 - 1m :54s : 372ms :     tm 25.99, hd 52.47, he 0, iaq , tvoc 394, eco2 400, iaqr , h2 14386, eth 18238, lux 2783.46, als 5228, wh 9168, ori 358.81 -85.81 -175.81, gyr 0.00 0.00 -0.01, lin -0.11 -0.11 0.08, mag 15.38 -4.50 32.06, accl -9.89 0.60 0.05, grav -9.78 0.71 -0.03, xpos -3539763.71, ypos 69957.55, head -0.05
114859 - 1m :54s : 859ms :     tm 26.02, hd 52.46, he 0, iaq , tvoc 378, eco2 400, iaqr , h2 14384, eth 18240, lux 2777.05, als 5226, wh 9172, ori 358.75 -85.75 -175.75, gyr 0.00 0.00 -0.00, lin -0.13 -0.01 0.05, mag 15.38 -3.75 32.88, accl -9.91 0.69 0.03, grav -9.78 0.71 -0.02, xpos -3555179.69, ypos 68771.70, head -0.06
115346 - 1m :55s : 346ms :     tm 26.00, hd 52.44, he 0, iaq , tvoc 379, eco2 400, iaqr , h2 14381, eth 18238, lux 2785.79, als 5244, wh 9176, ori 358.75 -85.75 -175.75, gyr 0.01 -0.01 0.00, lin -0.10 0.12 0.00, mag 15.75 -3.75 34.00, accl -9.88 0.84 -0.01, grav -9.78 0.72 0.00, xpos -3567038.14, ypos 83001.84, head -0.05
115828 - 1m :55s : 828ms :     tm 26.02, hd 52.41, he 0, iaq , tvoc 386, eco2 400, iaqr , h2 14389, eth 18246, lux 2775.30, als 5226, wh 9156, ori 358.75 -85.75 -175.75, gyr -0.00 0.00 0.01, lin -0.11 0.12 -0.06, mag 15.75 -4.06 32.88, accl -9.89 0.84 -0.07, grav -9.78 0.72 0.00, xpos -3579815.96, ypos 96941.28, head -0.05
116313 - 1m :56s : 313ms :     tm 26.02, hd 52.40, he 0, iaq , tvoc 378, eco2 400, iaqr , h2 14385, eth 18244, lux 2781.13, als 5228, wh 9141, ori 358.81 -85.75 -4.19, gyr 0.00 0.01 0.00, lin -0.13 0.04 -0.07, mag 15.38 -4.88 32.88, accl -9.89 0.78 -0.09, grav -9.77 0.72 0.00, xpos -3595105.58, ypos 101645.78, head -0.06
116801 - 1m :56s : 801ms :     tm 26.02, hd 52.40, he 0, iaq , tvoc 375, eco2 400, iaqr , h2 14390, eth 18250, lux 2772.97, als 5214, wh 9120, ori 358.81 -85.69 -4.25, gyr 0.01 0.01 -0.00, lin -0.12 0.00 0.05, mag 15.75 -3.75 32.88, accl -9.90 0.73 0.07, grav -9.77 0.72 0.01, xpos -3609394.22, ypos 101645.78, head -0.06
117281 - 1m :57s : 281ms :     tm 26.00, hd 52.36, he 0, iaq , tvoc 383, eco2 400, iaqr , h2 14389, eth 18245, lux 2767.72, als 5215, wh 9116, ori 358.81 -85.75 -4.19, gyr -0.00 0.00 0.00, lin -0.13 0.02 0.01, mag 15.75 -3.00 32.88, accl -9.91 0.74 0.02, grav -9.77 0.72 0.01, xpos -3624370.22, ypos 103949.78, head -0.06
117770 - 1m :57s : 770ms :     tm 26.02, hd 52.34, he 0, iaq , tvoc 375, eco2 400, iaqr , h2 14387, eth 18243, lux 2766.56, als 5211, wh 9119, ori 358.88 -85.75 -4.19, gyr 0.00 -0.01 0.00, lin -0.11 -0.03 -0.03, mag 15.06 -4.88 32.06, accl -9.89 0.68 -0.01, grav -9.78 0.72 0.01, xpos -3637521.88, ypos 100362.97, head -0.05
118252 - 1m :58s : 252ms :     tm 25.99, hd 52.36, he 0, iaq , tvoc 364, eco2 400, iaqr , h2 14391, eth 18249, lux 2768.30, als 5214, wh 9119, ori 358.88 -85.75 -4.19, gyr 0.00 0.00 0.00, lin -0.12 0.07 -0.01, mag 15.75 -4.88 32.88, accl -9.90 0.79 0.00, grav -9.78 0.71 0.01, xpos -3651461.32, ypos 108494.31, head -0.06
118737 - 1m :58s : 737ms :     tm 26.02, hd 52.31, he 0, iaq , tvoc 374, eco2 400, iaqr , h2 14389, eth 18249, lux 2769.47, als 5224, wh 9125, ori 358.88 -85.75 -4.19, gyr 0.00 0.01 0.00, lin -0.11 0.03 0.03, mag 15.38 -3.75 32.50, accl -9.90 0.78 0.00, grav -9.78 0.71 0.01, xpos -3664398.69, ypos 112022.68, head -0.05
119226 - 1m :59s : 226ms :     tm 26.03, hd 52.33, he 0, iaq , tvoc 363, eco2 400, iaqr , h2 14394, eth 18264, lux 2785.21, als 5247, wh 9174, ori 358.88 -85.75 -4.19, gyr 0.01 0.00 0.01, lin -0.12 0.02 0.15, mag 15.75 -4.50 32.88, accl -9.90 0.74 0.16, grav -9.78 0.71 0.00, xpos -3678745.95, ypos 114413.89, head -0.06
119711 - 1m :59s : 711ms :     tm 26.00, hd 52.32, he 0, iaq , tvoc 368, eco2 400, iaqr , h2 14393, eth 18260, lux 2788.71, als 5249, wh 9188, ori 358.94 -85.75 -175.75, gyr -0.01 -0.01 0.01, lin -0.18 0.05 0.10, mag 15.38 -4.50 33.25, accl -9.85 0.77 0.16, grav -9.78 0.72 -0.01, xpos -3699916.20, ypos 120294.52, head -0.09
120197 - 2m :0s : 197ms :     tm 26.02, hd 52.38, he 0, iaq , tvoc 368, eco2 400, iaqr , h2 14393, eth 18259, lux 2785.79, als 5244, wh 9173, ori 358.88 -85.50 -175.50, gyr 0.10 0.05 -0.04, lin -0.14 0.30 0.09, mag 14.75 -5.25 32.75, accl -9.91 1.07 0.05, grav -9.77 0.76 -0.03, xpos -3716449.92, ypos 155723.92, head -0.07
120685 - 2m :0s : 685ms :     tm 26.00, hd 52.36, he 0, iaq , tvoc 351, eco2 400, iaqr , h2 14393, eth 18265, lux 2807.96, als 5282, wh 9394, ori 2.94 -85.88 -176.44, gyr -0.08 -0.03 0.01, lin -0.10 -0.18 -0.26, mag 14.06 -2.56 32.25, accl -9.88 0.42 -0.59, grav -9.78 0.61 -0.33, xpos -3728357.12, ypos 134290.96, head -0.05
121167 - 2m :1s : 167ms :     tm 26.00, hd 52.35, he 0, iaq , tvoc 361, eco2 400, iaqr , h2 14392, eth 18264, lux 2796.29, als 5268, wh 9216, ori 358.75 -85.44 -4.50, gyr 0.07 0.04 -0.01, lin -0.03 0.39 0.16, mag 14.75 -3.56 31.06, accl -9.80 1.16 0.24, grav -9.77 0.77 0.07, xpos -3731841.98, ypos 179594.14, head -0.01
121652 - 2m :1s : 652ms :     tm 26.00, hd 52.34, he 0, iaq , tvoc 350, eco2 400, iaqr , h2 14398, eth 18264, lux 2807.96, als 5285, wh 9282, ori 359.81 -85.69 -175.75, gyr -0.09 -0.00 -0.01, lin -0.15 -0.17 -0.11, mag 15.50 -3.50 32.06, accl -9.93 0.55 -0.17, grav -9.77 0.72 -0.06, xpos -3749483.86, ypos 159600.01, head -0.07
122139 - 2m :2s : 139ms :     tm 26.03, hd 52.37, he 0, iaq , tvoc 340, eco2 400, iaqr , h2 14396, eth 18267, lux 2793.96, als 5258, wh 9225, ori 359.19 -85.62 -175.62, gyr -0.00 0.02 -0.01, lin -0.14 -0.20 0.01, mag 15.06 -3.50 30.88, accl -9.92 0.53 -0.02, grav -9.77 0.74 -0.04, xpos -3766085.69, ypos 135883.11, head -0.07
122622 - 2m :2s : 622ms :     tm 26.05, hd 52.36, he 0, iaq , tvoc 346, eco2 400, iaqr , h2 14391, eth 18269, lux 2799.21, als 5267, wh 9251, ori 359.56 -85.69 -175.69, gyr -0.01 0.01 -0.01, lin -0.12 -0.12 0.15, mag 15.88 -4.50 33.56, accl -9.90 0.61 0.08, grav -9.77 0.73 -0.06, xpos -3780083.03, ypos 121885.77, head -0.06
123107 - 2m :3s : 107ms :     tm 26.02, hd 52.36, he 0, iaq , tvoc 349, eco2 400, iaqr , h2 14393, eth 18265, lux 2815.55, als 5286, wh 9331, ori 2.38 -85.94 -176.06, gyr -0.02 0.04 -0.06, lin -0.15 -0.35 -0.12, mag 15.06 -4.06 33.00, accl -9.93 0.25 -0.30, grav -9.78 0.65 -0.17, xpos -3797724.91, ypos 80721.40, head -0.07
123737 - 2m :3s : 737ms :     tm 26.02, hd 52.36, he 0, iaq , tvoc 349, eco2 400, iaqr , h2 14392, eth 18262, lux 2818.47, als 5300, wh 9319, ori 1.25 -85.81 -175.88, gyr -0.14 -0.02 -0.00, lin -0.14 0.05 -0.27, mag 15.50 -4.00 34.00, accl -9.90 0.72 -0.43, grav -9.78 0.69 -0.12, xpos -3825507.91, ypos 90643.90, head -0.09
124224 - 2m :4s : 224ms :     tm 26.02, hd 52.36, he 0, iaq , tvoc 349, eco2 400, iaqr , h2 14398, eth 18271, lux 2806.79, als 5280, wh 9251, ori 359.50 -85.50 -4.44, gyr 0.02 0.03 -0.01, lin -0.14 -0.10 -0.03, mag 15.38 -3.19 32.69, accl -9.92 0.65 -0.03, grav -9.77 0.76 0.00, xpos -3842109.74, ypos 78785.45, head -0.07
124717 - 2m :4s : 717ms :     tm 26.00, hd 52.37, he 0, iaq , tvoc 338, eco2 400, iaqr , h2 14398, eth 18273, lux 2819.64, als 5302, wh 9336, ori 0.44 -85.69 -175.69, gyr -0.07 0.01 0.02, lin -0.11 -0.11 -0.07, mag 15.06 -3.88 31.75, accl -9.89 0.61 -0.13, grav -9.77 0.73 -0.06, xpos -3855477.43, ypos 65417.75, head -0.05
125197 - 2m :5s : 197ms :     tm 26.03, hd 52.36, he 0, iaq , tvoc 346, eco2 400, iaqr , h2 14402, eth 18282, lux 2830.15, als 5326, wh 9351, ori 359.62 -85.50 -175.50, gyr 0.00 0.00 0.00, lin -0.12 0.00 0.07, mag 14.75 -4.88 32.25, accl -9.90 0.75 0.03, grav -9.77 0.76 -0.03, xpos -3869301.43, ypos 65417.75, head -0.06
125686 - 2m :5s : 686ms :     tm 26.02, hd 52.33, he 0, iaq , tvoc 337, eco2 400, iaqr , h2 14401, eth 18281, lux 2834.24, als 5325, wh 9368, ori 359.62 -85.56 -175.56, gyr 0.01 0.01 0.00, lin -0.12 0.08 -0.07, mag 15.75 -3.38 33.06, accl -9.90 0.84 -0.11, grav -9.77 0.75 -0.04, xpos -3883648.69, ypos 74982.59, head -0.06
126171 - 2m :6s : 171ms :     tm 26.02, hd 52.35, he 0, iaq , tvoc 327, eco2 400, iaqr , h2 14396, eth 18289, lux 2831.32, als 5322, wh 9358, ori 0.38 -85.69 -175.69, gyr 0.15 -0.00 0.03, lin -0.15 0.04 0.19, mag 16.19 -4.88 32.25, accl -9.93 0.78 0.14, grav -9.77 0.73 -0.04, xpos -3901290.57, ypos 79687.09, head -0.07
126651 - 2m :6s : 651ms :     tm 26.05, hd 52.35, he 0, iaq , tvoc 325, eco2 400, iaqr , h2 14407, eth 18292, lux 2829.57, als 5319, wh 9366, ori 359.62 -85.69 -175.75, gyr -0.12 0.03 -0.00, lin -0.16 -0.36 0.18, mag 15.38 -3.00 32.69, accl -9.96 0.45 -0.06, grav -9.77 0.72 -0.06, xpos -3919722.57, ypos 38215.09, head -0.08
127140 - 2m :7s : 140ms :     tm 26.06, hd 52.37, he 0, iaq , tvoc 331, eco2 400, iaqr , h2 14399, eth 18291, lux 2825.48, als 5317, wh 9345, ori 0.00 -85.56 -175.56, gyr 0.20 0.06 0.00, lin -0.27 0.43 -0.36, mag 15.06 -4.19 33.06, accl -10.05 1.19 -0.44, grav -9.77 0.75 -0.07, xpos -3952003.90, ypos 89626.10, head -0.13
127629 - 2m :7s : 629ms :     tm 26.03, hd 52.37, he 0, iaq , tvoc 336, eco2 400, iaqr , h2 14400, eth 18288, lux 2822.56, als 5319, wh 9321, ori 359.69 -85.44 -175.50, gyr 0.33 0.00 -0.04, lin -0.32 -0.03 0.08, mag 15.75 -4.88 32.25, accl -10.09 0.72 0.00, grav -9.77 0.76 -0.08, xpos -3990263.26, ypos 86039.29, head -0.16
128110 - 2m :8s : 110ms :     tm 26.03, hd 52.38, he 0, iaq , tvoc 321, eco2 400, iaqr , h2 14395, eth 18284, lux 2828.40, als 5317, wh 9393, ori 1.31 -85.44 -175.62, gyr 0.41 0.00 0.07, lin 0.13 0.60 -0.50, mag 15.25 -3.19 33.38, accl -9.64 1.34 -0.73, grav -9.77 0.74 -0.22, xpos -3975224.80, ypos 155447.59, head 0.06
128597 - 2m :8s : 597ms :     tm 26.05, hd 52.38, he 0, iaq , tvoc 327, eco2 400, iaqr , h2 14400, eth 18288, lux 2831.91, als 5323, wh 9451, ori 2.50 -85.94 -176.06, gyr 0.08 0.01 0.02, lin -0.13 -0.20 -0.24, mag 14.25 -2.88 31.88, accl -9.92 0.45 -0.45, grav -9.78 0.67 -0.16, xpos -3990640.78, ypos 131730.69, head -0.06
129081 - 2m :9s : 81ms :     tm 26.06, hd 52.33, he 0, iaq , tvoc 316, eco2 400, iaqr , h2 14410, eth 18300, lux 2823.14, als 5308, wh 9271, ori 359.19 -85.19 -4.75, gyr -0.02 -0.00 0.00, lin -0.11 -0.22 0.47, mag 15.50 -4.25 31.38, accl -9.88 0.59 0.56, grav -9.77 0.81 0.08, xpos -4003524.86, ypos 105962.53, head -0.05
129567 - 2m :9s : 567ms :     tm 26.05, hd 52.34, he 0, iaq , tvoc 309, eco2 400, iaqr , h2 14408, eth 18302, lux 2813.80, als 5286, wh 9269, ori 359.88 -85.50 -175.50, gyr -0.02 -0.02 0.01, lin -0.13 -0.16 -0.15, mag 14.56 -3.69 32.50, accl -9.90 0.59 -0.18, grav -9.77 0.75 -0.05, xpos -4018877.60, ypos 87066.85, head -0.06
130055 - 2m :10s : 55ms :     tm 26.05, hd 52.36, he 0, iaq , tvoc 303, eco2 400, iaqr , h2 14409, eth 18303, lux 2814.97, als 5292, wh 9275, ori 359.38 -85.25 -4.69, gyr 0.00 0.01 -0.01, lin -0.14 0.00 0.00, mag 15.56 -3.25 30.56, accl -9.92 0.80 0.03, grav -9.77 0.81 0.04, xpos -4035547.68, ypos 87066.85, head -0.07
130539 - 2m :10s : 539ms :     tm 26.05, hd 52.33, he 0, iaq , tvoc 307, eco2 400, iaqr , h2 14411, eth 18302, lux 2813.22, als 5291, wh 9312, ori 359.62 -85.31 -175.31, gyr 0.00 -0.00 -0.00, lin -0.11 -0.01 0.06, mag 15.19 -3.69 30.88, accl -9.89 0.78 0.06, grav -9.77 0.79 0.00, xpos -4048431.76, ypos 85895.57, head -0.05
131027 - 2m :11s : 27ms :     tm 26.06, hd 52.35, he 0, iaq , tvoc 312, eco2 400, iaqr , h2 14412, eth 18301, lux 2826.65, als 5314, wh 9333, ori 359.62 -85.38 -175.38, gyr 0.00 -0.01 -0.00, lin -0.12 -0.09 0.07, mag 15.56 -4.06 31.69, accl -9.89 0.68 0.06, grav -9.77 0.78 -0.01, xpos -4062720.40, ypos 75179.09, head -0.06
131511 - 2m :11s : 511ms :     tm 26.05, hd 52.36, he 0, iaq , tvoc 298, eco2 400, iaqr , h2 14411, eth 18305, lux 2824.90, als 5315, wh 9333, ori 359.69 -85.38 -175.38, gyr 0.00 0.01 -0.00, lin -0.13 -0.09 0.01, mag 15.56 -4.38 30.56, accl -9.92 0.70 0.04, grav -9.77 0.78 0.00, xpos -4077947.04, ypos 64637.57, head -0.06
131997 - 2m :11s : 997ms :     tm 26.07, hd 52.33, he 0, iaq , tvoc 292, eco2 400, iaqr , h2 14415, eth 18314, lux 2827.82, als 5316, wh 9316, ori 359.69 -85.44 -175.44, gyr 0.00 -0.00 -0.01, lin -0.14 -0.12 0.00, mag 15.19 -3.69 31.69, accl -9.92 0.65 0.00, grav -9.77 0.77 0.00, xpos -4094480.76, ypos 50465.81, head -0.07
132482 - 2m :12s : 482ms :     tm 26.07, hd 52.37, he 0, iaq , tvoc 305, eco2 400, iaqr , h2 14414, eth 18316, lux 2826.65, als 5315, wh 9317, ori 359.75 -85.44 -175.44, gyr 0.01 0.01 -0.00, lin -0.12 -0.03 -0.02, mag 15.19 -4.06 30.88, accl -9.89 0.73 -0.02, grav -9.77 0.77 0.00, xpos -4108594.26, ypos 46937.44, head -0.06
132965 - 2m :12s : 965ms :     tm 26.07, hd 52.34, he 0, iaq , tvoc 294, eco2 400, iaqr , h2 14410, eth 18314, lux 2832.49, als 5324, wh 9341, ori 359.75 -85.44 -175.44, gyr -0.00 -0.01 -0.00, lin -0.13 0.00 0.04, mag 15.19 -3.25 31.69, accl -9.90 0.77 0.06, grav -9.77 0.76 -0.01, xpos -4123758.04, ypos 46937.44, head -0.06
133450 - 2m :13s : 450ms :     tm 26.05, hd 52.33, he 0, iaq , tvoc 289, eco2 400, iaqr , h2 14421, eth 18317, lux 2823.14, als 5308, wh 9338, ori 359.62 -85.44 -175.44, gyr -0.01 -0.01 0.01, lin -0.13 0.04 0.00, mag 14.56 -3.25 30.19, accl -9.90 0.81 0.00, grav -9.77 0.77 -0.01, xpos -4139047.67, ypos 51641.94, head -0.06
133936 - 2m :13s : 936ms :     tm 26.07, hd 52.31, he 0, iaq , tvoc 277, eco2 400, iaqr , h2 14417, eth 18324, lux 2816.72, als 5299, wh 9308, ori 359.56 -85.44 -4.50, gyr -0.01 -0.01 0.01, lin -0.11 -0.11 -0.07, mag 15.19 -3.69 31.25, accl -9.89 0.66 -0.07, grav -9.77 0.77 0.00, xpos -4152038.45, ypos 38651.16, head -0.05
134418 - 2m :14s : 418ms :     tm 26.07, hd 52.30, he 0, iaq , tvoc 287, eco2 400, iaqr , h2 14416, eth 18321, lux 2823.73, als 5310, wh 9334, ori 359.31 -85.25 -4.69, gyr -0.01 0.01 0.00, lin -0.13 0.09 0.01, mag 14.75 -3.56 30.88, accl -9.89 0.87 0.08, grav -9.77 0.80 0.05, xpos -4167139.51, ypos 49105.74, head -0.06
134906 - 2m :14s : 906ms :     tm 26.07, hd 52.32, he 0, iaq , tvoc 289, eco2 400, iaqr , h2 14411, eth 18318, lux 2820.22, als 5303, wh 9304, ori 359.31 -85.31 -4.62, gyr -0.00 -0.01 0.00, lin -0.11 0.01 0.05, mag 15.50 -2.88 31.69, accl -9.89 0.81 0.09, grav -9.77 0.79 0.03, xpos -4180237.43, ypos 50296.46, head -0.05
135393 - 2m :15s : 393ms :     tm 26.05, hd 52.33, he 0, iaq , tvoc 292, eco2 400, iaqr , h2 14412, eth 18318, lux 2831.91, als 5323, wh 9327, ori 359.44 -85.38 -4.56, gyr -0.01 -0.00 0.01, lin -0.12 -0.06 -0.07, mag 15.50 -3.56 29.69, accl -9.90 0.71 -0.06, grav -9.77 0.78 0.01, xpos -4194467.57, ypos 43181.39, head -0.06
135875 - 2m :15s : 875ms :     tm 26.06, hd 52.32, he 0, iaq , tvoc 282, eco2 400, iaqr , h2 14412, eth 18319, lux 2845.35, als 5346, wh 9341, ori 359.25 -85.31 -4.62, gyr -0.02 0.00 0.02, lin -0.12 0.15 -0.03, mag 15.06 -4.00 30.88, accl -9.90 0.95 0.00, grav -9.77 0.80 0.03, xpos -4208407.01, ypos 60605.69, head -0.06
136359 - 2m :16s : 359ms :     tm 26.05, hd 52.35, he 0, iaq , tvoc 284, eco2 400, iaqr , h2 14417, eth 18326, lux 2847.69, als 5347, wh 9363, ori 359.44 -85.50 -175.50, gyr -0.01 0.02 0.01, lin -0.14 -0.10 -0.18, mag 15.06 -4.00 30.88, accl -9.92 0.66 -0.20, grav -9.77 0.76 -0.01, xpos -4224804.93, ypos 48892.89, head -0.07
136848 - 2m :16s : 848ms :     tm 26.06, hd 52.34, he 0, iaq , tvoc 271, eco2 400, iaqr , h2 14423, eth 18335, lux 2851.20, als 5357, wh 9346, ori 359.25 -85.31 -4.56, gyr -0.03 0.01 0.01, lin -0.10 0.06 0.30, mag 15.75 -3.19 32.06, accl -9.87 0.85 0.37, grav -9.77 0.79 0.07, xpos -4236760.98, ypos 56066.52, head -0.05
137328 - 2m :17s : 328ms :     tm 26.03, hd 52.35, he 0, iaq , tvoc 285, eco2 400, iaqr , h2 14411, eth 18328, lux 2849.44, als 5353, wh 9326, ori 359.06 -85.31 -4.62, gyr -0.02 -0.02 0.01, lin -0.14 -0.26 0.10, mag 14.88 -4.69 30.56, accl -9.91 0.52 0.15, grav -9.77 0.79 0.04, xpos -4252888.98, ypos 26114.52, head -0.07
137815 - 2m :17s : 815ms :     tm 26.06, hd 52.37, he 0, iaq , tvoc 274, eco2 400, iaqr , h2 14421, eth 18330, lux 2843.01, als 5342, wh 9324, ori 359.12 -85.31 -4.62, gyr 0.03 -0.00 -0.00, lin -0.12 -0.11 -0.07, mag 16.06 -3.56 33.25, accl -9.89 0.68 -0.05, grav -9.77 0.79 0.02, xpos -4267119.12, ypos 13070.22, head -0.06
138302 - 2m :18s : 302ms :     tm 26.07, hd 52.33, he 0, iaq , tvoc 284, eco2 400, iaqr , h2 14409, eth 18322, lux 2850.03, als 5354, wh 9323, ori 358.88 -85.19 -4.75, gyr -0.01 0.00 0.01, lin -0.11 -0.11 0.13, mag 14.88 -4.00 31.69, accl -9.88 0.69 0.18, grav -9.77 0.81 0.05, xpos -4280163.41, ypos 25.93, head -0.05
138788 - 2m :18s : 788ms :     tm 26.07, hd 52.34, he 0, iaq , tvoc 279, eco2 400, iaqr , h2 14413, eth 18325, lux 2850.61, als 5357, wh 9367, ori 358.88 -85.19 -4.75, gyr -0.05 -0.01 -0.01, lin -0.12 -0.10 0.13, mag 14.88 -3.56 31.69, accl -9.86 0.62 0.17, grav -9.77 0.81 0.04, xpos -4294335.17, ypos -11783.87, head -0.06
139274 - 2m :19s : 274ms :     tm 26.05, hd 52.35, he 0, iaq , tvoc 267, eco2 400, iaqr , h2 14418, eth 18336, lux 2850.03, als 5344, wh 9347, ori 358.62 -85.06 -4.88, gyr -0.00 0.00 -0.01, lin -0.15 0.04 -0.05, mag 14.88 -3.19 31.25, accl -9.92 0.87 0.00, grav -9.77 0.83 0.05, xpos -4312049.87, ypos -7059.95, head -0.07
139760 - 2m :19s : 760ms :     tm 26.05, hd 52.34, he 0, iaq , tvoc 266, eco2 400, iaqr , h2 14423, eth 18342, lux 2842.43, als 5341, wh 9346, ori 358.94 -85.38 -175.38, gyr -0.02 -0.02 0.01, lin -0.12 -0.07 0.07, mag 14.56 -4.00 31.56, accl -9.90 0.73 0.07, grav -9.77 0.78 0.00, xpos -4326221.63, ypos -15326.81, head -0.06
140246 - 2m :20s : 246ms :     tm 26.05, hd 52.37, he 0, iaq , tvoc 273, eco2 400, iaqr , h2 14423, eth 18332, lux 2844.76, als 5345, wh 9343, ori 358.94 -85.44 -175.44, gyr -0.00 -0.00 0.00, lin -0.13 -0.05 -0.06, mag 15.25 -3.19 31.56, accl -9.90 0.72 -0.06, grav -9.77 0.77 0.00, xpos -4341574.37, ypos -21231.71, head -0.06
140731 - 2m :20s : 731ms :     tm 26.05, hd 52.36, he 0, iaq , tvoc 257, eco2 400, iaqr , h2 14423, eth 18343, lux 2843.01, als 5348, wh 9359, ori 359.00 -85.44 -175.44, gyr -0.01 -0.01 0.00, lin -0.12 -0.03 -0.04, mag 15.25 -2.88 31.56, accl -9.89 0.73 -0.05, grav -9.77 0.77 0.00, xpos -4355687.87, ypos -24760.09, head -0.06
141216 - 2m :21s : 216ms :     tm 26.05, hd 52.38, he 0, iaq , tvoc 257, eco2 400, iaqr , h2 14417, eth 18342, lux 2845.93, als 5349, wh 9345, ori 359.00 -85.44 -175.44, gyr 0.00 0.00 -0.00, lin -0.13 -0.11 -0.02, mag 15.25 -3.56 31.19, accl -9.90 0.65 -0.02, grav -9.77 0.77 0.00, xpos -4370977.49, ypos -37697.46, head -0.06
141701 - 2m :21s : 701ms :     tm 26.06, hd 52.44, he 0, iaq , tvoc 258, eco2 400, iaqr , h2 14415, eth 18336, lux 2831.32, als 5322, wh 9322, ori 359.12 -85.50 -175.50, gyr 0.01 0.02 -0.01, lin -0.13 -0.05 -0.04, mag 14.25 -3.56 32.38, accl -9.91 0.71 -0.06, grav -9.77 0.76 -0.02, xpos -4386267.12, ypos -43578.09, head -0.06
142186 - 2m :22s : 186ms :     tm 26.06, hd 52.47, he 0, iaq , tvoc 256, eco2 400, iaqr , h2 14422, eth 18348, lux 2823.14, als 5308, wh 9282, ori 359.12 -85.50 -175.50, gyr 0.00 0.00 -0.00, lin -0.12 0.08 0.15, mag 13.88 -3.56 30.75, accl -9.90 0.85 0.12, grav -9.77 0.76 -0.02, xpos -4400380.62, ypos -34169.09, head -0.06
142669 - 2m :22s : 669ms :     tm 26.03, hd 52.49, he 0, iaq , tvoc 258, eco2 400, iaqr , h2 14421, eth 18344, lux 2817.89, als 5299, wh 9266, ori 359.25 -85.50 -175.50, gyr -0.01 -0.01 0.00, lin -0.13 -0.03 0.00, mag 14.56 -2.88 30.50, accl -9.91 0.72 -0.07, grav -9.77 0.76 -0.06, xpos -4415544.40, ypos -37668.42, head -0.06
143156 - 2m :23s : 156ms :     tm 26.02, hd 52.52, he 0, iaq , tvoc 266, eco2 400, iaqr , h2 14424, eth 18349, lux 2815.55, als 5294, wh 9254, ori 359.19 -85.50 -175.50, gyr 0.00 0.00 -0.00, lin -0.13 0.02 0.13, mag 15.25 -2.88 31.25, accl -9.91 0.79 0.10, grav -9.77 0.76 -0.03, xpos -4430960.39, ypos -35296.73, head -0.06
143642 - 2m :23s : 642ms :     tm 26.05, hd 52.55, he 0, iaq , tvoc 254, eco2 400, iaqr , h2 14424, eth 18349, lux 2819.06, als 5299, wh 9257, ori 359.19 -85.50 -175.50, gyr -0.00 -0.00 0.00, lin -0.29 0.03 0.05, mag 14.88 -4.00 31.19, accl -10.07 0.79 0.01, grav -9.77 0.76 -0.04, xpos -4465208.81, ypos -31753.79, head -0.14
